gene,freq,pct
KARS,47,0.94
STAT1,45,0.9
ABCF1,43,0.86
GAPDH,42,0.84
ILF2,40,0.8
HINT1,39,0.78
HNRNPD,39,0.78
ZPR1,39,0.78
RPL30,38,0.76
RPL35,38,0.76
RPS7,38,0.76
CBX3,37,0.74
ARF1,34,0.68
RNPS1,34,0.68
STARD7,34,0.68
GDI2,33,0.66
MIR6805,32,0.64
ATP6V0B,31,0.62
C1D,31,0.62
RPL10A,31,0.62
FAU,30,0.6
SART1,30,0.6
SMNDC1,30,0.6
SNX3,30,0.6
NPM1,29,0.58
JTB,28,0.56
PSMB2,28,0.56
ZNF146,28,0.56
ERH,26,0.52
GATC,26,0.52
ACTB,24,0.48
DAD1,24,0.48
GUK1,24,0.48
RPL24,23,0.46
RPS5,23,0.46
RPS27A,22,0.44
SART3,22,0.44
RPL37,20,0.4
HNRNPC,19,0.38
RPL34,18,0.36
KHDRBS1,16,0.32
SLC25A3,15,0.3
SPAG7,12,0.24
FNTA,11,0.22
TARDBP,10,0.2
CANX,9,0.18
ITIH4,9,0.18
RHOA,9,0.18
NARS,7,0.14
RPL4,7,0.14
