Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	11/113	3.533037e-15	2.324738e-12	0	0	5.488386e+01	1.826349e+03	RPL4;RPL30;RPS7;RPS5;RPL34;RPL24;RPL35;RNPS1;RPL37;RPS27A;RPL10A
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	10/90	1.803051e-14	4.653639e-12	0	0	6.209375e+01	1.965063e+03	RPL4;RPL30;RPS7;RPS5;RPL34;RPL24;RPL35;RPL37;RPS27A;RPL10A
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	10/93	2.532617e-14	4.653639e-12	0	0	5.984036e+01	1.873418e+03	RPL4;RPL30;RPS7;RPS5;RPL34;RPL24;RPL35;RPL37;RPS27A;RPL10A
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	10/94	2.828960e-14	4.653639e-12	0	0	5.912500e+01	1.844480e+03	RPL4;RPL30;RPS7;RPS5;RPL34;RPL24;RPL35;RPL37;RPS27A;RPL10A
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	10/103	7.261487e-14	9.556117e-12	0	0	5.337903e+01	1.614908e+03	RPL4;RPL30;RPS7;RPS5;RPL34;RPL24;RPL35;RPL37;RPS27A;RPL10A
GO_Biological_Process_2021	translation (GO:0006412)	12/214	1.402881e-13	1.538493e-11	0	0	3.087233e+01	9.136690e+02	RPL4;RPL30;RPS7;RPS5;RPL34;GATC;RPL24;RPL35;RPL37;RPS27A;RPL10A;ABCF1
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	11/162	1.987285e-13	1.868048e-11	0	0	3.698234e+01	1.081616e+03	RPL4;RPL30;RPS7;RPS5;RPL34;RPL24;RPL35;RPL37;RPS27A;RPL10A;ABCF1
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	11/171	3.611014e-13	2.970059e-11	0	0	3.488622e+01	9.994768e+02	RPL4;RPL30;RPS7;RPS5;RPL34;RPL24;RPL35;RNPS1;RPL37;RPS27A;RPL10A
GO_Biological_Process_2021	gene expression (GO:0010467)	13/356	2.836805e-12	2.074020e-10	0	0	2.008439e+01	5.340107e+02	RPL4;RPL30;RPS7;RPS5;RPL34;RPL10A;HNRNPD;RPL24;RPL35;RNPS1;RPL37;RPS27A;ABCF1
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	12/314	1.295027e-11	8.226310e-10	0	0	2.054514e+01	5.150646e+02	RPL4;RPL30;RPS7;RPS5;RPL34;RPL24;RPL35;RNPS1;RPL37;RPS27A;RPL10A;ABCF1
GO_Biological_Process_2021	rRNA processing (GO:0006364)	10/173	1.375219e-11	8.226310e-10	0	0	3.034816e+01	7.590021e+02	RPL4;SART1;RPL30;RPS7;RPL34;C1D;RPL24;RPL35;RPL37;RPL10A
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	10/192	3.867362e-11	2.120603e-09	0	0	2.715385e+01	6.510369e+02	RPL4;NPM1;RPL30;RPS7;RPL34;C1D;RPL24;RPL35;RPL37;RPL10A
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	9/162	2.262936e-10	1.145394e-08	0	0	2.840316e+01	6.308110e+02	RPL4;RPL30;RPS7;RPL34;C1D;RPL24;RPL35;RPL37;RPL10A
GO_Biological_Process_2021	ncRNA processing (GO:0034470)	9/201	1.533639e-09	7.208104e-08	0	0	2.258918e+01	4.584614e+02	RPL4;RPL30;RPS7;RPL34;C1D;RPL24;RPL35;RPL37;RPL10A
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	11/417	5.106006e-09	2.239835e-07	0	0	1.357737e+01	2.592306e+02	RPL4;RPL30;RPS7;RPS5;RPL34;RPL24;RPL35;RPL37;RPS27A;RPL10A;ABCF1
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	6/251	3.682993e-05	1.514631e-03	0	0	1.096753e+01	1.119697e+02	SART1;SART3;HNRNPD;RNPS1;HNRNPC;SMNDC1
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	6/274	5.997984e-05	2.321573e-03	0	0	1.001459e+01	9.735682e+01	SART1;SART3;HNRNPD;RNPS1;HNRNPC;SMNDC1
GO_Biological_Process_2021	mRNA processing (GO:0006397)	6/300	9.885304e-05	3.613628e-03	0	0	9.116883e+00	8.407477e+01	SART1;SART3;HNRNPD;RNPS1;HNRNPC;SMNDC1
GO_Biological_Process_2021	RNA splicing (GO:0008380)	4/98	1.050042e-04	3.636461e-03	0	0	1.836818e+01	1.682802e+02	RNPS1;HNRNPC;TARDBP;SMNDC1
GO_Biological_Process_2021	chromatin remodeling (GO:0006338)	4/103	1.273467e-04	4.182383e-03	0	0	1.743610e+01	1.563774e+02	NPM1;CBX3;HNRNPC;ACTB
GO_Biological_Process_2021	ribosomal small subunit biogenesis (GO:0042274)	3/40	1.360855e-04	4.182383e-03	0	0	3.435250e+01	3.058138e+02	NPM1;RPS7;RPS5
GO_Biological_Process_2021	regulation of macromolecule metabolic process (GO:0060255)	5/200	1.398365e-04	4.182383e-03	0	0	1.125641e+01	9.990105e+01	ARF1;SART3;C1D;HNRNPD;TARDBP
GO_Biological_Process_2021	ribosome assembly (GO:0042255)	3/50	2.652627e-04	7.588821e-03	0	0	2.702988e+01	2.225854e+02	NPM1;RPS5;RPL24
GO_Biological_Process_2021	interleukin-35-mediated signaling pathway (GO:0070757)	2/11	3.320639e-04	9.104085e-03	0	0	9.231944e+01	7.394957e+02	STAT1;CANX
GO_Biological_Process_2021	ribonucleoprotein complex assembly (GO:0022618)	4/136	3.696378e-04	9.728868e-03	0	0	1.305534e+01	1.031761e+02	SART1;SART3;RPS5;RPL24
GO_Biological_Process_2021	ribosomal large subunit biogenesis (GO:0042273)	3/57	3.911591e-04	9.899334e-03	0	0	2.351773e+01	1.845294e+02	NPM1;RPL24;RPL10A
GO_Biological_Process_2021	protein-DNA complex assembly (GO:0065004)	4/143	4.470420e-04	1.089458e-02	0	0	1.239349e+01	9.558926e+01	NPM1;SART3;PSMB2;RPS27A
