Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	27/1406	1.293351e-18	1.293351e-16	0	0	1.580909e+01	6.511654e+02	RPL4;KHDRBS1;ARF1;RPL30;RPL34;GDI2;RPL10A;SART1;SART3;RPL35;RPL37;RPS27A;SMNDC1;ABCF1;NPM1;RPS7;RPS5;ILF2;C1D;CANX;HNRNPD;RPL24;RNPS1;ERH;FAU;HNRNPC;TARDBP
GO_Molecular_Function_2021	mRNA binding (GO:0003729)	7/263	3.869450e-06	1.934725e-04	0	0	1.252344e+01	1.560721e+02	KHDRBS1;RPS7;RPS5;RPL35;RNPS1;HNRNPC;TARDBP
GO_Molecular_Function_2021	mRNA 3'-UTR binding (GO:0003730)	4/85	6.027934e-05	2.009311e-03	0	0	2.133011e+01	2.072545e+02	RPS7;RNPS1;HNRNPC;TARDBP
GO_Molecular_Function_2021	ubiquitin ligase inhibitor activity (GO:1990948)	2/8	1.698630e-04	3.887473e-03	0	0	1.385000e+02	1.202252e+03	RPS7;RPL37
GO_Molecular_Function_2021	ubiquitin-protein transferase inhibitor activity (GO:0055105)	2/9	2.180466e-04	3.887473e-03	0	0	1.187083e+02	1.000806e+03	RPS7;RPL37
GO_Molecular_Function_2021	protein kinase binding (GO:0019901)	7/506	2.478676e-04	3.887473e-03	0	0	6.345575e+00	5.268487e+01	KHDRBS1;HINT1;NPM1;RPS7;JTB;RHOA;ACTB
GO_Molecular_Function_2021	Tat protein binding (GO:0030957)	2/10	2.721231e-04	3.887473e-03	0	0	1.038646e+02	8.526510e+02	NPM1;ACTB
GO_Molecular_Function_2021	poly(U) RNA binding (GO:0008266)	2/22	1.370384e-03	1.712980e-02	0	0	4.152083e+01	2.737329e+02	KHDRBS1;HNRNPC
GO_Molecular_Function_2021	poly-pyrimidine tract binding (GO:0008187)	2/25	1.771221e-03	1.968024e-02	0	0	3.609964e+01	2.287304e+02	KHDRBS1;HNRNPC
GO_Molecular_Function_2021	nucleosomal DNA binding (GO:0031492)	2/33	3.077847e-03	3.077847e-02	0	0	2.677285e+01	1.548414e+02	HNRNPC;ACTB
GO_Molecular_Function_2021	core promoter sequence-specific DNA binding (GO:0001046)	2/37	3.857632e-03	3.506938e-02	0	0	2.370833e+01	1.317638e+02	NPM1;STAT1
GO_Molecular_Function_2021	kinase binding (GO:0019900)	5/461	5.750938e-03	4.792449e-02	0	0	4.750000e+00	2.450236e+01	NPM1;RPS7;JTB;RHOA;ACTB
GO_Molecular_Function_2021	RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	3/190	1.192356e-02	8.292518e-02	0	0	6.745819e+00	2.987884e+01	NPM1;STAT1;ACTB
GO_Molecular_Function_2021	inorganic phosphate transmembrane transporter activity (GO:0005315)	1/5	1.243878e-02	8.292518e-02	0	0	1.017653e+02	4.464379e+02	SLC25A3
GO_Molecular_Function_2021	protein geranylgeranyltransferase activity (GO:0004661)	1/5	1.243878e-02	8.292518e-02	0	0	1.017653e+02	4.464379e+02	FNTA
GO_Molecular_Function_2021	U4 snRNA binding (GO:0030621)	1/6	1.490828e-02	8.685871e-02	0	0	8.140816e+01	3.423896e+02	SART3
GO_Molecular_Function_2021	DNA binding (GO:0003677)	6/811	1.519344e-02	8.685871e-02	0	0	3.243083e+00	1.357844e+01	KHDRBS1;STAT1;C1D;TARDBP;ILF2;ZNF146
GO_Molecular_Function_2021	aspartic-type endopeptidase inhibitor activity (GO:0019828)	1/7	1.737174e-02	8.685871e-02	0	0	6.783673e+01	2.749362e+02	GAPDH
GO_Molecular_Function_2021	N6-methyladenosine-containing RNA binding (GO:1990247)	1/7	1.737174e-02	8.685871e-02	0	0	6.783673e+01	2.749362e+02	HNRNPC
GO_Molecular_Function_2021	nitric-oxide synthase binding (GO:0050998)	1/7	1.737174e-02	8.685871e-02	0	0	6.783673e+01	2.749362e+02	ACTB
GO_Molecular_Function_2021	carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884)	1/8	1.982916e-02	9.442458e-02	0	0	5.814286e+01	2.279550e+02	GATC
GO_Molecular_Function_2021	guanylate kinase activity (GO:0004385)	1/9	2.228056e-02	1.012753e-01	0	0	5.087245e+01	1.935209e+02	GUK1
GO_Molecular_Function_2021	histone methyltransferase binding (GO:1990226)	1/11	2.716534e-02	1.138414e-01	0	0	4.069388e+01	1.467345e+02	CBX3
GO_Molecular_Function_2021	purine ribonucleoside triphosphate binding (GO:0035639)	4/460	2.769163e-02	1.138414e-01	0	0	3.717391e+00	1.333289e+01	ARF1;GUK1;RHOA;ABCF1
GO_Molecular_Function_2021	ribosomal large subunit binding (GO:0043023)	1/12	2.959876e-02	1.138414e-01	0	0	3.699258e+01	1.302147e+02	NPM1
