Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Ribosome	11/158	1.506746e-13	1.657421e-11	0	0	3.799634e+01	1.121791e+03	RPL4;RPL30;RPS7;RPS5;RPL34;RPL24;RPL35;FAU;RPL37;RPS27A;RPL10A
KEGG_2021_Human	Coronavirus disease	12/232	3.671578e-13	2.019368e-11	0	0	2.832057e+01	8.109026e+02	RPL4;RPL30;RPS7;STAT1;RPS5;RPL34;RPL24;RPL35;FAU;RPL37;RPS27A;RPL10A
KEGG_2021_Human	Vibrio cholerae infection	3/50	2.652627e-04	9.726300e-03	0	0	2.702988e+01	2.225854e+02	ARF1;ATP6V0B;ACTB
KEGG_2021_Human	Shigellosis	5/246	3.646518e-04	1.002792e-02	0	0	9.086676e+00	7.193529e+01	ARF1;CBX3;RPS27A;RHOA;ACTB
KEGG_2021_Human	Pathogenic Escherichia coli infection	4/197	1.475764e-03	3.246681e-02	0	0	8.901554e+00	5.802549e+01	ARF1;GAPDH;RHOA;ACTB
KEGG_2021_Human	Salmonella infection	4/249	3.447530e-03	6.320472e-02	0	0	6.993789e+00	3.965546e+01	ARF1;GAPDH;RHOA;ACTB
KEGG_2021_Human	Spliceosome	3/150	6.263172e-03	8.932148e-02	0	0	8.598784e+00	4.362222e+01	SART1;HNRNPC;SMNDC1
KEGG_2021_Human	Phagosome	3/152	6.496108e-03	8.932148e-02	0	0	8.482507e+00	4.272259e+01	ATP6V0B;CANX;ACTB
KEGG_2021_Human	Tuberculosis	3/180	1.030679e-02	1.259719e-01	0	0	7.130545e+00	3.262190e+01	ATP6V0B;STAT1;RHOA
KEGG_2021_Human	Adherens junction	2/71	1.363735e-02	1.500109e-01	0	0	1.200543e+01	5.156266e+01	RHOA;ACTB
KEGG_2021_Human	Bacterial invasion of epithelial cells	2/77	1.590578e-02	1.590578e-01	0	0	1.104167e+01	4.572435e+01	RHOA;ACTB
KEGG_2021_Human	mRNA surveillance pathway	2/98	2.499488e-02	2.122616e-01	0	0	8.617188e+00	3.178953e+01	RNPS1;TARDBP
KEGG_2021_Human	Endocytosis	3/252	2.508546e-02	2.122616e-01	0	0	5.050244e+00	1.861251e+01	SNX3;ARF1;RHOA
KEGG_2021_Human	C-type lectin receptor signaling pathway	2/104	2.790101e-02	2.192222e-01	0	0	8.107843e+00	2.901872e+01	STAT1;RHOA
KEGG_2021_Human	Leukocyte transendothelial migration	2/114	3.302953e-02	2.422166e-01	0	0	7.380208e+00	2.516912e+01	RHOA;ACTB
KEGG_2021_Human	Thyroid hormone signaling pathway	2/121	3.682237e-02	2.490987e-01	0	0	6.943627e+00	2.292543e+01	STAT1;ACTB
KEGG_2021_Human	Platelet activation	2/124	3.849707e-02	2.490987e-01	0	0	6.771858e+00	2.205711e+01	RHOA;ACTB
KEGG_2021_Human	Yersinia infection	2/137	4.608025e-02	2.737974e-01	0	0	6.115741e+00	1.882040e+01	RHOA;ACTB
KEGG_2021_Human	Fluid shear stress and atherosclerosis	2/139	4.729228e-02	2.737974e-01	0	0	6.025852e+00	1.838733e+01	RHOA;ACTB
KEGG_2021_Human	Phospholipase D signaling pathway	2/148	5.288906e-02	2.807996e-01	0	0	5.651826e+00	1.661388e+01	ARF1;RHOA
KEGG_2021_Human	Terpenoid backbone biosynthesis	1/22	5.360720e-02	2.807996e-01	0	0	1.936735e+01	5.667025e+01	FNTA
KEGG_2021_Human	Oxytocin signaling pathway	2/154	5.674550e-02	2.837275e-01	0	0	5.427083e+00	1.557127e+01	RHOA;ACTB
KEGG_2021_Human	Amyotrophic lateral sclerosis	3/364	6.260581e-02	2.913985e-01	0	0	3.463606e+00	9.597296e+00	PSMB2;TARDBP;ACTB
KEGG_2021_Human	Tight junction	2/169	6.679839e-02	2.913985e-01	0	0	4.935878e+00	1.335686e+01	RHOA;ACTB
KEGG_2021_Human	Protein processing in endoplasmic reticulum	2/171	6.818108e-02	2.913985e-01	0	0	4.876972e+00	1.309754e+01	DAD1;CANX
KEGG_2021_Human	Influenza A	2/172	6.887602e-02	2.913985e-01	0	0	4.848039e+00	1.297067e+01	STAT1;ACTB
KEGG_2021_Human	NOD-like receptor signaling pathway	2/181	7.523531e-02	3.065142e-01	0	0	4.602188e+00	1.190648e+01	STAT1;RHOA
KEGG_2021_Human	RNA transport	2/186	7.884713e-02	3.079777e-01	0	0	4.475996e+00	1.137012e+01	RNPS1;TARDBP
