gene,freq,pct
FAU,50,1.0
KARS,50,1.0
SPAG7,50,1.0
STAT1,50,1.0
HINT1,49,0.98
MIR6805,49,0.98
PSMB2,49,0.98
RPL34,49,0.98
SEPT2,49,0.98
ABCF1,48,0.96
CBX3,48,0.96
JTB,48,0.96
GATC,47,0.94
PARM1,47,0.94
CTDNEP1,46,0.92
EEF2,46,0.92
RNPS1,46,0.92
SLC22A8,46,0.92
GAPDH,45,0.9
HIST1H3B,45,0.9
HMGB1P17,45,0.9
ILF2,45,0.9
LYPLA2,44,0.88
RPS5,44,0.88
DAD1,43,0.86
EEF1DP5,43,0.86
RP11-278J20.2,43,0.86
RP5-1184F4.5,43,0.86
NMT2,42,0.84
RPL11,42,0.84
RPL27,42,0.84
RPL9,42,0.84
SRP14,42,0.84
ZMIZ2,42,0.84
C7orf26,41,0.82
CDK2,41,0.82
FGF5,41,0.82
FNTA,40,0.8
MED20,40,0.8
CR1,39,0.78
DPYS,39,0.78
KIAA1614,39,0.78
SAMD4B,39,0.78
TMEM255A,39,0.78
ERH,38,0.76
SCG2,38,0.76
SLC8A1,38,0.76
SNX3,38,0.76
TSGA10,38,0.76
CINP,37,0.74
RPL35,37,0.74
ARF1,36,0.72
PTCH2,36,0.72
RPS3A,36,0.72
PARK7,35,0.7
RPL24,35,0.7
ABCC8,34,0.68
C11orf58,34,0.68
LOC100287590,34,0.68
TREM1,34,0.68
AKAP7,33,0.66
CAPNS1,33,0.66
GPR63,33,0.66
HNRNPK,33,0.66
LAMB4,33,0.66
NLRX1,33,0.66
PGGT1B,33,0.66
RPL37,33,0.66
SESN1,33,0.66
SRF,33,0.66
TYW1,33,0.66
ZNF235,33,0.66
CD177,32,0.64
HMGN2P9,32,0.64
LALBA,32,0.64
PRPF8,32,0.64
RPL10A,32,0.64
TOPORS-AS1,32,0.64
ZIC3,32,0.64
CA6,31,0.62
HHLA1,31,0.62
PON3,31,0.62
RCN1,31,0.62
AC074212.6,30,0.6
HPCA,30,0.6
WNT11,30,0.6
GALR1,29,0.58
IKZF5,29,0.58
MAPK8IP3,29,0.58
SCARA3,29,0.58
UNKL,29,0.58
C1D,28,0.56
CCL20,28,0.56
DFFA,28,0.56
HEBP2,28,0.56
KIAA0391,28,0.56
RAX,28,0.56
RPS7,28,0.56
SLC25A17,28,0.56
ST3GAL6,28,0.56
C22orf46,27,0.54
FEM1B,27,0.54
NBEAL1,27,0.54
PDE4A,27,0.54
SART1,27,0.54
TAF10,27,0.54
EEF1D,26,0.52
ESPN,26,0.52
LOC101929036,26,0.52
LYVE1,26,0.52
MYBPH,26,0.52
PCDH8,26,0.52
SPANXB1,26,0.52
ZPR1,26,0.52
ATP6V0B,25,0.5
CACNB3,25,0.5
FCER2,25,0.5
FETUB,25,0.5
GDI2,25,0.5
GUCY1B2,25,0.5
MRPL20,25,0.5
NSD1,25,0.5
RAB40A,25,0.5
RPL4,25,0.5
SLCO1B1,25,0.5
AKAP9,24,0.48
C18orf25,24,0.48
ELAC2,24,0.48
G3BP2,24,0.48
RNASEH2B,24,0.48
C9orf38,23,0.46
CENPBD1P1,23,0.46
CRTC3,23,0.46
CYP2J2,23,0.46
EIF3D,23,0.46
GUCY2C,23,0.46
OR7E14P,23,0.46
POLE2,23,0.46
PPP1R3C,23,0.46
RASSF8,23,0.46
SLC39A2,23,0.46
TAGLN2,23,0.46
ATAD5,22,0.44
BTN3A1,22,0.44
CCR8,22,0.44
CD68,22,0.44
CYP4A11,22,0.44
DNAJB12,22,0.44
GRM4,22,0.44
GUK1,22,0.44
KCNJ2,22,0.44
MED22,22,0.44
