gene,freq,pct
KARS,47,0.94
STAT1,45,0.9
ABCF1,43,0.86
GAPDH,42,0.84
ILF2,40,0.8
HINT1,39,0.78
HNRNPD,39,0.78
ZPR1,39,0.78
RPL30,38,0.76
RPL35,38,0.76
RPS7,38,0.76
CBX3,37,0.74
ARF1,34,0.68
RNPS1,34,0.68
STARD7,34,0.68
GDI2,33,0.66
MIR6805,32,0.64
ATP6V0B,31,0.62
C1D,31,0.62
RPL10A,31,0.62
FAU,30,0.6
SART1,30,0.6
SMNDC1,30,0.6
SNX3,30,0.6
NPM1,29,0.58
JTB,28,0.56
PSMB2,28,0.56
ZNF146,28,0.56
ERH,26,0.52
GATC,26,0.52
ACTB,24,0.48
DAD1,24,0.48
GUK1,24,0.48
RPL24,23,0.46
RPS5,23,0.46
RPS27A,22,0.44
SART3,22,0.44
RPL37,20,0.4
HNRNPC,19,0.38
RPL34,18,0.36
KHDRBS1,16,0.32
SLC25A3,15,0.3
SPAG7,12,0.24
FNTA,11,0.22
TARDBP,10,0.2
CANX,9,0.18
ITIH4,9,0.18
RHOA,9,0.18
NARS,7,0.14
RPL4,7,0.14
RPS25,7,0.14
EIF3D,6,0.12
KAT7,6,0.12
RPS3A,6,0.12
CFL1,5,0.1
RPL19,5,0.1
CSF3R,4,0.08
FANCE,4,0.08
HIST1H3B,4,0.08
OAZ1,4,0.08
PAWR,4,0.08
RPL27,4,0.08
TAGLN2,4,0.08
ZNF45,4,0.08
AMFR,3,0.06
ASMT,3,0.06
C18orf32,3,0.06
CAMK4,3,0.06
EEF1DP5,3,0.06
EEF2,3,0.06
ENDOU,3,0.06
FEM1B,3,0.06
FYCO1,3,0.06
GALR1,3,0.06
GTPBP8,3,0.06
MED20,3,0.06
MPHOSPH10,3,0.06
NMT2,3,0.06
PIEZO2,3,0.06
PPAT,3,0.06
PSME4,3,0.06
RP11-278J20.2,3,0.06
SEMA6C,3,0.06
SIDT2,3,0.06
TIMM44,3,0.06
ZIC1,3,0.06
ABCC8,2,0.04
BBS1,2,0.04
BYSL,2,0.04
C11orf63,2,0.04
C7orf26,2,0.04
CHRNA5,2,0.04
CNPPD1,2,0.04
CR1,2,0.04
DCLK1,2,0.04
DDX5,2,0.04
DNAJC12,2,0.04
DPYS,2,0.04
F7,2,0.04
FAM98A,2,0.04
FGF5,2,0.04
G3BP2,2,0.04
GPR63,2,0.04
GRM4,2,0.04
HMGB1P17,2,0.04
IDI2-AS1,2,0.04
MAPK8IP3,2,0.04
ME3,2,0.04
MMP1,2,0.04
MYL5,2,0.04
MYO15B,2,0.04
NBEAL1,2,0.04
NBPF1,2,0.04
PDE4A,2,0.04
PHYHIP,2,0.04
PLCB3,2,0.04
POLR2L,2,0.04
PTTG3P,2,0.04
RP5-1184F4.5,2,0.04
RPE,2,0.04
RPL14,2,0.04
RRP7A,2,0.04
SAFB,2,0.04
SCARA3,2,0.04
SLC15A1,2,0.04
SLC22A8,2,0.04
SLC39A2,2,0.04
SOX11,2,0.04
SRF,2,0.04
STAT5B,2,0.04
TLDC1,2,0.04
TMEM255A,2,0.04
TREM1,2,0.04
WNT11,2,0.04
XPOT,2,0.04
ZFAND5,2,0.04
ZNF106,2,0.04
ZNF423,2,0.04
ABHD17B,1,0.02
AC002310.7,1,0.02
ACVR1B,1,0.02
ADCYAP1R1,1,0.02
AGO1,1,0.02
AKAP17A,1,0.02
ANKRD2,1,0.02
APH1B,1,0.02
AQP5,1,0.02
ARSD,1,0.02
ART3,1,0.02
ASAH1,1,0.02
ATP5E,1,0.02
AUH,1,0.02
BCL2L2,1,0.02
BTG3,1,0.02
BZW2,1,0.02
C16orf80,1,0.02
C20orf24,1,0.02
C9orf38,1,0.02
CACNB3,1,0.02
CASC5,1,0.02
CBWD1,1,0.02
CCBL1,1,0.02
CCDC101,1,0.02
CCDC102B,1,0.02
CCDC71,1,0.02
CD177,1,0.02
CD68,1,0.02
CDC123,1,0.02
CDCP1,1,0.02
CDR1,1,0.02
CHST2,1,0.02
CINP,1,0.02
CLCA1,1,0.02
COQ6,1,0.02
CYP2J2,1,0.02
CYP4A11,1,0.02
CYP4B1,1,0.02
DCAF7,1,0.02
DIXDC1,1,0.02
DNAJC2,1,0.02
DNMBP,1,0.02
DONSON,1,0.02
DUSP8,1,0.02
EFHC1,1,0.02
EIF4EBP1,1,0.02
ELOVL4,1,0.02
ESRRB,1,0.02
FA2H,1,0.02
FAM114A2,1,0.02
FAM131A,1,0.02
FANCA,1,0.02
FAR2,1,0.02
FKBP1B,1,0.02
FLJ11710,1,0.02
FMO1,1,0.02
FOXM1,1,0.02
FRZB,1,0.02
GABARAP,1,0.02
GCH1,1,0.02
GEMIN2,1,0.02
GINS4,1,0.02
GJB1,1,0.02
GJD2,1,0.02
GLDC,1,0.02
GLMN,1,0.02
GPC1,1,0.02
GTF3C2,1,0.02
GTPBP2,1,0.02
GTSE1,1,0.02
GUCY2C,1,0.02
HEATR3,1,0.02
HIST1H2AL,1,0.02
HPGDS,1,0.02
HS3ST1,1,0.02
HSD17B7,1,0.02
HYAL3,1,0.02
IDI1,1,0.02
IFNA1,1,0.02
IGBP1,1,0.02
IL18BP,1,0.02
JAG1,1,0.02
JMJD7,1,0.02
KERA,1,0.02
KIAA0391,1,0.02
KIAA0753,1,0.02
KIAA1614,1,0.02
KLRC3,1,0.02
L1CAM,1,0.02
LIMD2,1,0.02
LINC00652,1,0.02
LINC00667,1,0.02
LOC100287590,1,0.02
LOC100294145,1,0.02
LOC100506403,1,0.02
LOC100508408,1,0.02
LOC101927051,1,0.02
LOC101929036,1,0.02
LOC102725198,1,0.02
LOC220077,1,0.02
LRRN3,1,0.02
MAGOHB,1,0.02
MAPK7,1,0.02
MAPK8IP1,1,0.02
MCUR1,1,0.02
MFN2,1,0.02
MIR7110,1,0.02
MMRN1,1,0.02
MRC1,1,0.02
MRPL3,1,0.02
MST1,1,0.02
MTDH,1,0.02
MTHFSD,1,0.02
MTMR10,1,0.02
MYBL2,1,0.02
MYBPH,1,0.02
MYO9A,1,0.02
NCK2,1,0.02
NLRX1,1,0.02
NPHP4,1,0.02
NRIP3,1,0.02
NUDT1,1,0.02
NUP54,1,0.02
NUSAP1,1,0.02
ONECUT1,1,0.02
PCDH8,1,0.02
PDZK1,1,0.02
PEX12,1,0.02
PHKA1,1,0.02
PIAS4,1,0.02
PLCB2,1,0.02
PLEKHA8P1,1,0.02
POLQ,1,0.02
POU2F2,1,0.02
PRDM14,1,0.02
PRKCG,1,0.02
PRO2958,1,0.02
PRR34,1,0.02
PSMD14,1,0.02
PTPN12,1,0.02
PTPRK,1,0.02
PWP2,1,0.02
PYY,1,0.02
RAB8B,1,0.02
RAD1,1,0.02
RASAL1,1,0.02
RASSF8,1,0.02
RAX,1,0.02
RBM34,1,0.02
RCN1,1,0.02
RFC2,1,0.02
RFPL3S,1,0.02
RGCC,1,0.02
RHBDD3,1,0.02
RND2,1,0.02
RORC,1,0.02
RPL18,1,0.02
RPL6,1,0.02
RPL9,1,0.02
RPS24,1,0.02
RRP1,1,0.02
RTCB,1,0.02
S100A8,1,0.02
S100A9,1,0.02
SAP30BP,1,0.02
SCG2,1,0.02
SEC14L2,1,0.02
SEC22B,1,0.02
SEC31B,1,0.02
SHCBP1,1,0.02
SHQ1,1,0.02
SLC1A5,1,0.02
SLC30A10,1,0.02
SLC44A1,1,0.02
SLC7A6,1,0.02
SMAD9,1,0.02
SMIM14,1,0.02
SNRNP40,1,0.02
SPATA6,1,0.02
SPRR2B,1,0.02
SRD5A1,1,0.02
SRM,1,0.02
STAR,1,0.02
SYNJ1,1,0.02
TCP11L1,1,0.02
TGFA,1,0.02
TIMM23,1,0.02
TMEM161A,1,0.02
TMEM194A,1,0.02
TMEM222,1,0.02
TPH1,1,0.02
TRAK1,1,0.02
TRIM13,1,0.02
TTLL4,1,0.02
TYW1,1,0.02
UNC119B,1,0.02
USP29,1,0.02
UTP11L,1,0.02
VAMP2,1,0.02
VRTN,1,0.02
WDR45B,1,0.02
WSB2,1,0.02
ZBTB39,1,0.02
ZC3H7B,1,0.02
ZIC3,1,0.02
ZMYM3,1,0.02
ZNF324B,1,0.02
ZNF37BP,1,0.02
